"anio","mes","Total","Prediccion","Banda_inferior","Banda_superior"
"2020","02",469656540,520901828.643199,492416526.923929,596926096.67856
"2020","03",376992013,557264900.836547,526209054.666432,557759184.219945
"2020","04",107717472,529070248.338778,498949265.506404,595110917.888451
"2020","05",83082392,546683982.216378,514924087.102529,572726811.16272
"2020","06",96811907,546300358.419127,514026785.760055,581719194.589915
"2020","07",134327938,525941676.604961,494213831.767786,599005525.931978
"2020","08",147401558,566098231.628718,531435863.521239,553921166.263112
"2020","09",138570399,519362759.33411,486960405.580557,603021417.730033
"2020","10",165270081,561047039.217705,525493950.536106,559706405.222607
"2020","11",180276255,544300396.234744,509288543.504484,580600252.509368
"2020","12",181304746,535256605.300289,500237858.493045,580402789.260953
"2021","01",111381842,555692192.872814,518884470.000057,561009599.629651
"2021","02",143841256,519940419.349602,484685949.280282,590153603.307383
"2021","03",188434535,555905543.86426,517703909.107914,551034947.54502
